"feature_selected","we.eBH","wi.eBH","effect","effect.low","effect.high","overlap"
"pt__00004",5.02959063597867e-12,5.84551444041356e-226,-0.212777403037716,-4.4422557701412,3.03000522239207,0.400800000344216
"pt__00009",2.62384095435199e-15,1.20806422986132e-202,-0.194239216708598,-4.42518266409953,3.03174400870562,0.41331733683047
"pt__00041",5.26372260950746e-11,3.33453075196313e-117,-0.150893099489684,-4.44806114582638,3.25943612074413,0.424515097237986
"pt__00014",7.4312735117208e-06,4.02581065211912e-66,-0.136919066266494,-4.06168326051089,3.00879901389665,0.440111977806931
"pt__00006",9.91270221874851e-06,1.85886370548481e-65,-0.134172418325121,-3.85712946840955,2.9881583004052,0.43520000021969
"pt__00090",2.28536101748472e-06,1.02192347310466e-81,0.126442425247615,-3.16219013762896,4.29460628452375,0.437912417726613
"pt__00039",3.81427927464029e-09,4.37114663322073e-76,-0.122553704805916,-4.4887106905224,3.14959468770706,0.436112777660917
"pt__00015",0.000459011701569943,4.35496084123487e-41,-0.11669979844747,-3.86232993089351,3.17877524130192,0.44511097798956
"pt__00079",7.32158505362911e-05,1.18949627536508e-45,0.11408160466644,-3.34141476817221,4.42675810918838,0.446800000179364
"pt__00002",0.000556300738198475,3.42840617993592e-54,-0.106070178739294,-3.63151305043909,3.43427565853861,0.453200000157379
"pt__00056",0.00013972110370745,1.60649360563212e-35,0.101822486843641,-3.2509691090918,4.42015681910848,0.445310937996868
"pt__00003",0.0334428131987992,5.1378685550133e-22,-0.0934300175622341,-3.59157940433746,3.29256690193046,0.455200000150542
"pt__00225",0.00710430179525528,7.72654090553316e-20,0.0908328324708006,-3.68362268455195,3.83880843614132,0.456000000147811
"pt__00019",0.000557418781505982,1.8569776634509e-20,0.0848351210823447,-3.10065692916317,4.2708913100999,0.459308138508815
"pt__00058",0.00342739343196593,5.62566299947625e-11,0.0814758334132504,-3.5154401161231,4.23943409421319,0.455400000149859
"pt__00005",0.0149784160283315,1.11096945070962e-20,-0.0807401958779512,-3.63811308102538,3.46231389151574,0.462507498625931
"pt__00121",0.0695738453882886,0.00108817577492733,0.0797679983314881,-3.68039495106683,4.00467445973098,0.46490701871379
"pt__00144",0.122175322355164,0.000301392984100338,0.0760160186520765,-3.64133872416963,4.13726404106751,0.463307338655216
"pt__00279",0.0198937565409347,1.36069381826266e-16,0.0749615623270103,-3.68948204001236,4.28415716192976,0.460707858560049
"pt__00013",0.0205667652938515,1.46519586121689e-09,0.0734718439050436,-3.54185741854121,3.94658540205619,0.46780000010778
"pt__00097",0.099862864327755,0.00212619270205488,0.0678500909185653,-3.47515635408408,4.0912703124899,0.46360000012198
"pt__00260",0.0916107303991823,0.00137714198970451,0.0632893023386757,-4.07419894850269,4.10144515746508,0.469600000101709
"pt__00036",0.0175221978578818,5.28800385249518e-11,0.0628363219753957,-3.67986472931268,4.15830687854647,0.469000000103732
"pt__00668",0.093059174164589,0.000326291540064519,0.0610978589540562,-3.79627397476471,4.17188854951991,0.46910617886758
"pt__00066",0.111252879354092,0.000146725679506769,0.0593484989310157,-3.41824882335116,4.06072176987292,0.469306138874905
"pt__00057",0.0219804647782035,2.22361649711062e-08,0.0576241771555065,-3.34733876261034,4.22733785381212,0.46910617886758
"pt__00069",0.0147558899444407,4.86225063924632e-12,0.0569172207740247,-3.27412964032803,4.13390528996131,0.472305538984784
"pt__00008",0.0746505738237318,0.000497441207354264,0.0567616822772884,-3.21166493978787,4.02520641513774,0.473400000088918
"pt__00060",0.0643286591729844,0.000277390969472396,0.0565781638485831,-3.44709749660029,4.19133892872399,0.472705458999436
"pt__00024",0.0742443392099306,8.5306088137957e-05,-0.0538128433173646,-3.86387568400168,3.47127987692227,0.473800000087574
"pt__00186",0.290484517563974,0.0132487893146488,0.0537377827164923,-3.81884247653135,3.84218747720915,0.471905618970132
"pt__00021",0.086349538403905,2.78460346256611e-13,-0.0533929765612502,-4.02563348448725,3.581838357109,0.472600000091609
"pt__00055",0.0452558773951355,5.22970258708614e-07,0.0504006229922417,-3.33426570378602,4.4032800368967,0.473505299028741
"pt__00053",0.0680844011959753,0.000228182421191572,0.0495915517625203,-3.43729698893881,4.15512505109224,0.476104779123992
"pt__00128",0.357185175080436,0.0248887809984568,0.0477556354286471,-3.49157298816132,3.85577467132936,0.475304939094683
"pt__00109",0.281471030302688,0.0154053728409592,0.0474826537463292,-3.65641924188964,3.91294210232377,0.477304539167959
"pt__00068",0.070030466069493,0.000396261050766427,0.0440553131481812,-3.16220514737544,3.75879843643727,0.476904619153303
"pt__00029",0.312345273675837,0.00693572200690422,-0.0439174512961365,-3.72852695492541,3.39667493322216,0.478400000072134
"pt__00032",0.0998924236897951,0.00393904700225501,-0.0427440699004514,-4.08089784981496,3.62520908939169,0.477704459182615
"pt__00048",0.0372100099501295,8.15864322039186e-09,0.0420388920790878,-3.29158824177694,4.01126914445761,0.479200000069454
"pt__00091",0.408375315230408,0.0247458159593486,0.0419694092008951,-3.92003611138486,3.95476134080123,0.479000000070124
"pt__00016",0.162565100824996,4.35501451307806e-10,-0.0415605632071724,-3.61372314658282,3.44346551133764,0.481800000060747
"pt__00112",0.269476777503599,0.0207230044446012,0.0415457368894583,-3.53109096098984,3.91761990200795,0.481800000060747
"pt__00104",0.0503276096222537,3.32265358014702e-07,0.0397611499678985,-3.75755716953266,4.05817457359136,0.479304139241242
"pt__00034",0.00906907506923263,1.9007473681307e-10,0.0396244358950307,-3.78509286449859,4.05444316434715,0.481000000063425
"pt__00010",0.292653003427861,0.00724185291354317,0.0394696922327532,-3.48997530174004,3.82292553739095,0.478800000070795
"pt__00042",0.130447927748531,2.4991599960602e-05,-0.0390688859341249,-3.69583004568696,3.41756903888341,0.482200000059409
"pt__00054",0.197895560417769,0.0139372990969155,-0.0386075538883211,-4.00539175985856,3.59149511201174,0.479904019263229
"pt__00158",0.241955475142523,0.00551628670030502,0.0383081619514081,-3.72621700441862,4.24058873642637,0.480903819299874
"pt__00045",0.153686132965907,0.0209240553692096,0.0364208940724436,-3.64625290954421,3.87826093390485,0.481703659329192
"pt__00022",0.0241851480853553,0.00536977332634034,-0.0352001331673432,-4.59787795289939,3.6252485482466,0.480903819299874
"pt__00062",0.307351182785593,0.0309508596891443,0.0320465478058087,-3.51890059889403,3.94976761134438,0.4851029794538
"pt__00018",0.367367549579566,0.00108848783956899,-0.0272979935341736,-3.49200009209026,3.28837019761055,0.489200000036017
"pt__00040",0.163074302973175,0.0151492964404168,-0.0250914751787403,-4.07690142259689,3.56618902316653,0.486502699505113
"pt__00025",0.00110076091839376,8.26137425835337e-08,-0.0238250445055371,-4.23683900124452,3.69215578525099,0.486702659512445
"pt__00001",0.106093868285838,1.42002512782424e-07,-0.023162849376513,-3.73546495567414,3.55961059023421,0.487200000042695
"pt__04188",0.557448396030369,0.0355427943193076,0.0215335438400893,-4.02932367928345,4.05420605883736,0.487800000040691
"pt__02028",0.230822051242404,0.00123291425931466,0.0214158323466627,-3.9052881451208,3.95319387040096,0.490501899651735
"pt__00358",0.237647969709098,0.0112161580291064,0.0209526446979131,-3.80164063388894,4.11801818685248,0.489200000036017
"pt__00064",0.46389139232287,0.0194756667681467,0.0192143540609909,-3.85442084608759,3.50381355753837,0.490600000031345
"pt__00143",0.407444138550755,0.0475780639766883,0.0155931941554922,-3.72397076584187,3.78558380735481,0.492600000024672
"pt__00052",0.277364929615038,0.047392383111233,-0.0122248320008426,-4.05003693328393,3.38072260066617,0.493000000023338
"pt__00011",0.382128240563437,0.0124659318143524,0.0103314073213286,-3.77869390298581,3.84390378860906,0.4947010598057
