"feature_selected","we.eBH","wi.eBH","effect","effect.low","effect.high","overlap"
"pt__00004",0.000146825350063938,1.50153327555572e-05,-0.172825441886799,-4.21744454882848,3.0973428933931,0.413517296837739
"pt__00090",0.000230776057928823,0.000625902340231625,0.139223966118945,-3.1648697639111,4.24932942134873,0.429714057427476
"pt__00056",0.00217140886861845,0.006755416301733,0.130861158951055,-3.28637097135682,4.37194283041768,0.441711657865359
"pt__00042",0.0027783812763957,0.000656041316488963,-0.122959428442485,-3.85318396471465,3.13175310102788,0.440111977806931
"pt__00079",0.0082323666927318,0.014343914150229,0.107480714270654,-3.36300273095132,4.36198780907691,0.45000000016835
"pt__00024",0.00936234380909206,0.00433215879319694,-0.102588874549087,-3.84857796921621,3.4096986831131,0.447400000177296
"pt__00071",0.00163486547443834,0.00638640753148437,0.100028515694961,-3.31197321151744,4.54571057385547,0.449400000170412
"pt__00092",0.0622578795551675,0.0419403521808403,-0.0948461704980147,-4.01342192029246,3.42144642895845,0.453400000156695
"pt__00096",0.0364547525185434,0.0489205046419117,0.0936607393932652,-3.58901996979645,4.17601786381107,0.454909018347836
"pt__00007",0.167808486309785,0.0451126964731089,-0.0904801042977726,-3.72280777140423,3.56472759962477,0.460907818567369
"pt__00009",0.000806813522125261,0.0131978783232593,-0.0880813180919657,-4.56349038979704,3.60778770798876,0.454109178318574
"pt__00041",0.0027660091092727,0.020331947588467,-0.0866035633812539,-4.63429618616418,3.40085863893484,0.454800000151908
"pt__00006",0.0469391687323202,0.0446607917991313,-0.0741471169349391,-3.81463900423451,3.29823506208767,0.463707258669859
"pt__00021",0.0342417457335343,0.0267474991807338,-0.0721438108044067,-4.02878281564135,3.65443324699011,0.464307138691824
"pt__00039",0.00329783234392518,0.0302417832981632,-0.069190454447779,-4.54997163642667,3.61315566891977,0.46490701871379
"pt__00126",0.0211162084154608,0.0460385580006209,0.0651008686506715,-3.26573985273821,4.30564732681456,0.466000000113859
"pt__00052",0.0495967288929537,0.0356614771684415,-0.0629333345628494,-4.05024164900158,3.45248846870952,0.470000000100361
