"feature_selected","we.eBH","wi.eBH","effect","effect.low","effect.high","overlap"
"Prevotella",0.000335567010675212,9.29775043191708e-07,0.152660678206885,-3.5610101781221,4.31088283994988,0.425714857281699
"Fenollaria",0.0326079907329725,0.00988564744147212,-0.12314837026293,-4.05578935064443,3.39159375770326,0.443000000192502
"Mycoplasma",0.00322985799702539,0.00781384957218355,0.102298764754502,-3.38872082754746,4.42340609411788,0.446510698040718
"Ezakiella",0.0366394430836963,0.0149183801100935,-0.0998986470775114,-4.1550373447374,3.66709292921079,0.452400000160118
"Varibaculum",0.0719538948202983,0.0476596056882491,-0.0991964715226357,-4.05970332547349,3.50439541167303,0.453000000158063
"Lawsonella",0.0452665281431913,0.0143235978410818,-0.0973487252087902,-4.2463018496426,3.38744410842349,0.45000000016835
"Corynebacterium",0.00463725085249148,0.00289215671505088,-0.0964960160719934,-3.67515937675923,3.16629745466581,0.456800000145083
"Staphylococcus",0.0549537435077872,0.0129021182404879,-0.0920409026104865,-3.56797572109087,3.3350274583578,0.456108778391732
"Fusobacterium",0.00953082053451729,0.0200185760020614,0.0911303591327912,-3.4012178981228,4.02686821354246,0.453600000156011
"Bifidobacterium",0.0448869954467081,0.0174136637665336,-0.0846461570082704,-4.14358978719173,3.52961136299649,0.457400000143038
"Winkia",0.0818325643663776,0.0352106633717921,-0.0803611102826271,-4.14444901941462,3.64904606232277,0.460107978538091
"Lachnospiraceae",0.0977320618225523,0.0186686515808657,-0.0794206315430352,-3.87191769757524,3.70985120008981,0.45720000014372
"Bacteroidales",0.0418420057720236,0.0412692249013907,0.0771388717772112,-3.37303968524007,4.23671642533673,0.461800000128081
"Prevotellaceae",0.0262473057755819,0.0341946833623715,0.0744030388854797,-3.65850371795298,4.41967090934465,0.457800000141676
"Lactobacillus",0.028993970425033,0.0370007561900408,-0.0435445104850103,-4.88026606266903,4.15938024934706,0.47060000009834
