"feature_selected","we.eBH","wi.eBH","effect","effect.low","effect.high","overlap"
"Prevotellaceae",3.66315082618681e-06,2.09114057279039e-296,0.213706270329893,-3.18778627938582,4.44350079130724,0.393600000371489
"Bifidobacteriaceae",5.03606902729178e-05,1.14756541265212e-143,-0.178226161770732,-4.19887543586121,2.96463762336007,0.423515297201565
"Mycoplasmataceae",0.000652460166130634,2.33657406904296e-98,0.164446244471546,-3.09744588990862,4.03551648087493,0.426200000251479
"Fusobacteriaceae",0.000130813081247148,2.01014219537576e-102,0.147214055918679,-3.09292106161549,4.33158835475309,0.426514697310847
"Alcaligenaceae",0.0016959720955854,2.72936759522749e-55,-0.135880407051837,-4.13073137062567,3.21223607104575,0.438712257755816
"Pseudomonadaceae",0.00786699498501568,3.18929143321994e-40,-0.13122845787139,-4.04000488711589,3.09018131950341,0.437312537704712
"Lachnospiraceae",0.0160867737096289,1.03958992556536e-77,-0.123354894673193,-3.73204375146293,3.08946162623126,0.444000000189038
"Leptotrichiaceae",0.00872998673421315,1.82836521840661e-41,0.103334921668174,-3.09206753676179,4.12659221355489,0.449910018164993
"Streptococcaceae",0.00363502975957469,5.31019982687919e-32,0.0979734709013712,-3.10810910033484,4.15098171434591,0.45060000016629
"unclassified.Clostridiales",0.0229407094799167,7.74317607787123e-24,-0.0966450662091279,-3.82260900927352,3.1188351660901,0.452109578245431
"Ruminococcaceae",0.0210416252657197,1.2130498564137e-23,-0.0965922565300442,-4.21825991390737,3.47372210907135,0.454800000151908
"unclassified.Tissierellia",0.0561503661530115,1.64806626688156e-17,-0.0937244915931979,-3.89829261896497,3.34511773999877,0.453800000155326
"Bacteroidaceae",0.13774671469819,5.719369572699e-08,-0.0895587181001157,-3.94609792340017,3.55390979107138,0.453709258303945
"unclassified.Bacteroidales",0.0973172284046383,0.00279383107253959,0.0869000226893783,-3.22899107051025,4.42776070283511,0.456000000147811
"Lactobacillaceae",0.00843291517158197,2.95032255933705e-75,-0.0829235123872411,-4.8172434819446,4.19921307609286,0.447910418091884
"Hungateiclostridiaceae",0.0763418316983636,3.56254609178239e-14,-0.079623439121603,-4.04385967330831,3.32214887933706,0.461907618603969
"Bacteroidales",0.0805439830091409,3.99310552980894e-09,0.0750831117154123,-3.37221975859474,4.21599617633259,0.462200000126725
"Brevibacteriaceae",0.0572870663983008,4.16357886649633e-09,-0.0746383463541132,-4.18579350555635,3.21354702832193,0.462000000127403
"Staphylococcaceae",0.102957694244668,3.88609106889818e-14,-0.0723364520616393,-3.67956309244437,3.31658465970634,0.467600000108456
"unclassified.Corynebacteriales",0.126486096113934,0.000106462571600062,-0.0692986898393071,-3.87228537051974,3.26217006846582,0.467506498808987
"Moraxellaceae",0.104768520929526,0.00390654867030298,0.06718319780065,-3.18793834992271,3.99907292953621,0.468600000105081
"Coriobacteriaceae",0.178200093132058,0.00650527268228039,-0.0664096106146381,-4.25180056379991,3.58059766913501,0.469306138874905
"Peptostreptococcaceae",0.0722422579888348,1.44797164323141e-09,0.0637797126045886,-3.64397585289109,4.19993283466486,0.470305938911528
"Coriobacteriia",0.234040035330414,0.0120695248642822,0.0596219207057543,-3.38262310256429,4.01232335607007,0.471200000096319
"Veillonellaceae",0.280322260683881,2.6310473715776e-16,0.0587382786578072,-3.37391590306942,3.54069881083105,0.472105578977458
"Porphyromonadaceae",0.253626973176958,0.00369154866073018,0.0582873867319151,-3.61248259928866,3.81363598208711,0.472105578977458
"Atopobiaceae",0.300909067744973,1.39267270259865e-06,0.0581036424427974,-3.32795782787718,3.40811989218466,0.475304939094683
"Pasteurellaceae",0.0930919603458672,0.00876137473537484,0.056013352594348,-3.31402292794213,4.25773494916754,0.470305938911528
"Rikenellaceae",0.108905453324742,9.26172478994953e-05,-0.0557459895808487,-3.80515913341188,3.56337136978424,0.4718000000943
"Eggerthellaceae",0.294234187632543,0.0173079413666933,-0.051251782726971,-3.99960321580865,3.29039227609627,0.474000000086902
"Erysipelotrichaceae",0.317268623194852,0.0210930697057792,0.0502948758587161,-3.51320017816812,4.14230525853023,0.475200000082871
"Corynebacteriaceae",0.201380894485718,8.81159762834384e-06,-0.0476678386321437,-3.68764903826656,3.15804935506544,0.477104579160631
"Dermabacteraceae",0.422804880566183,0.0397841853812255,-0.0425712769638,-4.0223723991001,3.81766128945651,0.478104379197271
"Actinomycetaceae",0.431423892799073,0.0370401529330766,0.0419565905249445,-3.23087235629644,3.77523974447614,0.481600000061417
"Micrococcaceae",0.433062134089765,0.0225149722834293,-0.0397962779260681,-3.93903105698489,3.64245940612346,0.479904019263229
"Bacillales.Family.XI..Incertae.Sedis",0.464563947593577,0.0278314805706444,0.0292409037028343,-3.63451531194932,3.95592871159932,0.486302739497783
"Aerococcaceae",0.406940251635595,0.00958772165740731,0.0285494377971546,-3.29232956063802,3.51696049779651,0.485200000049376
"Peptoniphilaceae",0.558891339079128,0.00086420891892646,0.0153429221305903,-3.63608374005611,4.17583518492663,0.492200000026006
"Enterobacteriaceae",0.415465212879713,0.0429956738461888,0.0117825531114404,-3.68550112746339,3.69729414570627,0.493200000022671
