"feature_selected","we.eBH","wi.eBH","effect","effect.low","effect.high","overlap"
"Prevotella",5.64044527091791e-06,2.86163751400159e-298,0.220712485615927,-3.12837356263656,4.71812775938381,0.391600000379155
"Fusobacterium",0.000166501526440882,4.12134779614809e-103,0.154986286592423,-2.93164031736428,4.16690731131576,0.423315337194282
"Achromobacter",0.00624672591394946,1.08937447519738e-31,-0.135772162616609,-3.84763419910211,2.93386621661563,0.440200000202226
"Lachnospiraceae",0.00695677184547094,3.72352525878304e-88,-0.126643072567386,-3.97860759092585,3.19043090684483,0.435600000218288
"Streptococcus",0.00324342726571537,1.74451250128789e-38,0.123022736017271,-3.09406793363784,4.19196351247431,0.442400000194583
"Bifidobacterium",0.00428553744050099,4.07024007243067e-24,-0.121456501565215,-4.51647392056526,3.20774134221467,0.437912417726613
"Ureaplasma",0.00793833460988803,8.18185336552115e-36,0.118576161450923,-3.10907695324467,4.19958021860905,0.444000000189038
"Gardnerella",0.00907369358994394,1.13958486063445e-61,-0.104627571909172,-3.76002368011548,3.26514957899233,0.45470905834052
"Varibaculum",0.0447382120735011,2.07610481132916e-08,-0.0967799670780866,-4.11151108791677,3.63299943526643,0.450709858194241
"Pseudomonas",0.0164553320728652,1.39019786196225e-19,-0.0950428703375523,-3.91936080171388,3.18494457676152,0.456508698406366
"Mycoplasma",0.0212293641849694,5.66766083605288e-18,0.0939414656072081,-3.43503349933995,4.10436708853969,0.45000000016835
"Peptostreptococcus",0.0409659509395006,0.000364282456539014,0.0899541721767681,-3.4847399588202,4.31482762591078,0.455600000149176
"Lawsonella",0.168313993820623,0.00297569247915031,-0.0877800291012398,-4.25478409682175,3.30817573419398,0.456908618420999
"Bacteroidales",0.0664704741195611,1.94047384406341e-07,0.086938601286617,-3.61467543579487,4.31334684588935,0.449400000170412
"Fastidiosipila",0.0942962541431787,4.97120687896539e-10,-0.0844169749571232,-3.97971271816483,3.41897768527275,0.456000000147811
"Sneathia",0.0146966088510401,6.99066051803199e-21,0.0823072920798,-3.22135871830881,4.42685192398759,0.458108378464905
"Fenollaria",0.089817302789193,5.62833020387932e-09,-0.0793179800071277,-3.78816576963598,3.476233783887,0.463800000121303
"Ruminococcaceae",0.103270755443145,0.00516255332397398,-0.0789402886713828,-4.04920367275938,3.34720466561391,0.460707858560049
"Ezakiella",0.118532112325335,5.62875721654599e-05,-0.0774926232669499,-3.76900338416446,3.50590647231049,0.461707658596649
"Schaalia",0.0276769760490153,1.87388874227407e-14,0.0761484863014405,-3.54200717816717,4.17246683495422,0.457908418457587
"Blautia",0.197332639487498,0.00371402023290992,-0.0728844396069049,-4.06572759587999,3.66058327215266,0.463200000123335
"Brevibacterium",0.10977196852884,0.000379560459687384,-0.070564284636493,-4.14898347232237,3.48515221156658,0.460907818567369
"unclassified.Bacteroidales",0.0757221928154079,0.00919403289259878,0.0691075002940167,-3.49272206533333,4.31009630217906,0.463107378647894
"Dialister",0.28700798172225,2.38661388243203e-06,0.0683015814763551,-3.33986092615478,3.84400149939943,0.469600000101709
"Bacteroides",0.196190612644834,4.77143255998152e-07,-0.0674174517143316,-4.15192210411244,3.77314452416097,0.46490701871379
"Lactobacillus",0.0145710683894232,1.16943861822752e-64,-0.064297313127466,-5.49925047473509,4.27470339008531,0.456000000147811
"Haemophilus",0.0815950908003883,0.00421237589762694,0.0642105400946135,-3.52840425091371,4.60288886071993,0.468106378830959
"Staphylococcus",0.228490376108554,2.74541337411224e-07,-0.0634054561857542,-3.75010224353286,3.41994219947972,0.469800000101035
"Peptoniphilus",0.210833918522653,9.22408848072636e-13,0.0603357442301329,-3.46945486686301,3.72125638670798,0.472000000093627
"Porphyromonas",0.20734452585938,0.000449086476671523,0.0578838147517507,-3.37614679426571,3.67514121833369,0.471705658962805
"Winkia",0.128999310887877,0.00395362785431965,-0.0566448015050916,-4.22450564792902,3.45330866115008,0.47110577894083
"Escherichia",0.241826850369754,0.00523133781121289,-0.0563490093136508,-3.87021539569347,3.7854550025142,0.471905618970132
"Murdochiella.Levyella",0.159159815897307,0.00603391435756276,-0.056180810281574,-4.10936326757766,3.48570880114424,0.471905618970132
"Atopobium",0.199521175814469,4.80321837562383e-12,0.0551629898448154,-3.22170170543808,3.55539868118549,0.473600000088246
"Helcococcus",0.26881361080487,0.00932211359617577,-0.0531449972524854,-3.88902921414414,3.52837763357299,0.472705458999436
"Peptococcus",0.303281547964343,0.0320716723789137,0.0508766805968675,-3.70950770211563,4.16639359555735,0.474600000084885
"Eggerthellaceae",0.245074553312675,0.0093610241269408,-0.0503722949413094,-4.27504795376015,3.49383325837171,0.474105179050721
"Acinetobacter",0.346854166112474,0.0446358350700983,0.0499191387916946,-3.58826773136933,3.99815422000406,0.475104979087355
"Coriobacteriia",0.194769929393155,0.0170511902893492,0.0491197442379182,-3.87432429980318,4.16749459008298,0.475800000080856
"Olegusella",0.371131867110505,0.0225871774839111,-0.0451897072157921,-3.83225434373883,3.99797272957402,0.477200000076158
"Actinomyces.Gleimia",0.348346302541839,0.0341588587539248,-0.0435921922878308,-3.90922601026249,3.63807001375756,0.478800000070795
"Veillonella",0.062436005491143,0.0173780014258548,0.0433072002946431,-3.25019236334014,4.04463182149945,0.478904219226586
"Facklamia",0.346609965795459,0.0184521810048168,-0.0429195877258075,-3.8578014816621,3.50397644995901,0.476304739131319
"Aerococcus",0.318352486513674,0.0129579727938614,0.0378235745543834,-3.88327588820658,3.60233524233391,0.481903619336521
"Corynebacterium",0.301161149898845,1.75609935379118e-06,-0.0369409097630178,-3.47948748986693,3.34082163229463,0.48240000005874
"Gemella",0.35851543040286,0.0260074472785311,0.031188564133991,-3.36069415712059,3.83970459671347,0.484000000053388
"Negativicoccus",0.39055201337801,0.0337169419554739,-0.0310996098318392,-4.01142154170309,3.70322068742238,0.483200000056063
"Mobiluncus",0.347667413300863,0.0494656716274056,0.0151221832711279,-3.98692884457613,3.90679216673561,0.493000000023338
"unclassified.Lachnospiraceae",0.458573245573067,0.0318306081062279,0.0111710416919771,-3.86621156626704,3.83325843174694,0.494301139791037
