"feature_selected","we.eBH","wi.eBH","effect","effect.low","effect.high","overlap"
"Lachnospiraceae",7.16790301892342e-08,3.98211820844604e-133,-0.17744976593405,-4.03541084329626,3.04589661385021,0.419716057063228
"Gardnerella",9.17942597093136e-08,1.56580627871912e-116,-0.17253494591433,-3.93697754927553,3.0081464437609,0.424400000257896
"Prevotella",3.99127019550646e-05,4.19379171380952e-98,0.12302810862068,-3.21770932973181,3.98915603806156,0.440000000202923
"Achromobacter",3.99898008309722e-05,2.98084927364615e-57,-0.109606798719174,-3.7416336013694,3.17094175618747,0.449400000170412
"Mycoplasma",0.000108061120790598,4.65524289524884e-33,0.107819439508694,-3.11639356973713,4.41170933200285,0.446200000181434
"Fusobacterium",0.000648241562720914,7.56839664882398e-27,0.0978586784546684,-3.38984537048374,4.22954049731608,0.45720000014372
"Lactobacillus",2.5655450371533e-07,1.45986473648524e-79,-0.0916189905938789,-5.5626643674414,4.09397680007017,0.437800000210593
"Veillonella",0.0102884492299472,1.05776626494223e-08,0.0819278710169409,-3.31988164420673,4.03509934556366,0.458400000139633
"Finegoldia",0.033358873463959,1.06991719506241e-16,-0.0814560937192457,-3.79895142247164,3.23815889053477,0.466106778757725
"Bacteroidales",0.0189183875814668,6.58995716103652e-14,0.0808212081169702,-3.53593062559798,4.25466611583442,0.458600000138952
"Pseudomonas",0.000384215789458158,1.57813649766599e-39,-0.0792198384593271,-3.91670399595272,3.34353368285162,0.464200000119948
"Corynebacterium",0.0198446347111768,1.35343478117789e-17,-0.0786525957166686,-3.41448226502226,3.28143851347327,0.46030793854541
"Schaalia",0.0604305904971389,0.00011702516133567,0.0630069552037653,-3.48223322419069,4.14729732301276,0.468800000104406
"Megasphaera",0.105843117057787,1.29360834756617e-13,-0.06158307297346,-3.50200829870869,3.22695631211507,0.47110577894083
"Haemophilus",0.0407912701417386,4.50940498293127e-06,0.0588768045566162,-3.7531572170723,4.37250268930279,0.472800000090936
"Streptococcus",0.00804074326525069,3.06241619017503e-07,0.0584609447851559,-3.32613786714067,4.02383461631996,0.473705259036067
"Bacteria..bacteria.",0.000750006757361481,2.99050061536941e-08,0.0562231220154941,-3.23301165581926,4.76625175062666,0.469506098882229
"Sneathia",0.0161537057908721,4.6952144785863e-08,0.0559758895607921,-3.44193722015432,3.96071853199378,0.472000000093627
"Actinomyces",0.138940266714473,0.00568400008537317,0.0540542110385905,-3.67290173804266,4.12858905425532,0.476000000080185
"Ureaplasma",0.0920910453262989,3.26007946464648e-07,0.0539125172918501,-3.25917237165918,3.63789950529983,0.471000000096993
"Arcanobacterium",0.0441577025706797,4.95294746242899e-09,0.0532841126477317,-3.64264657937029,4.21944827588215,0.474305139058047
"unclassified.Bacteroidales",0.254884712622606,0.00757372197047688,0.0524618835637401,-3.78853370395227,4.30795570338621,0.472200000092954
"Coriobacteriia",0.147578744901481,0.00132406870908669,0.0466851409012119,-3.56998141777866,3.92998755632868,0.474905019080029
"Bifidobacterium",0.0304224673696574,1.59644409506934e-06,-0.0465073581599764,-4.21141858048946,3.72642685455008,0.475200000082871
"Acinetobacter",0.0763863974539597,0.00045425210090244,0.044844711074252,-3.62273719624614,3.88469612673305,0.47550489910201
"Staphylococcus",0.425277312245707,0.00232193903375156,-0.0442420306158132,-3.55087984491832,3.48420399060852,0.479200000069454
"Ezakiella",0.286214832046234,0.0180809887703015,-0.0439629744205606,-3.82672962451793,3.63053617967467,0.478304339204599
"Neisseria",0.514830449916184,0.0234249660497404,0.0425293287862255,-3.57970717191237,3.69225117598464,0.476600000078171
"unclassified.Lachnospiraceae",0.314636229824917,0.0309737966305659,0.041756793532396,-3.62936854666622,3.8882656903878,0.476704659145975
"Fenollaria",0.32536677472698,0.00161397092682595,-0.0415629404112089,-3.57415401031226,3.67207355091144,0.480703859292545
"Mobiluncus",0.129164881171643,0.0147266311902514,0.0414905167763066,-3.38968793539246,4.03082083949749,0.481400000062086
"Pseudoglutamicibacter",0.388944792597135,0.0420475676496904,-0.0394768616729326,-3.81588807115433,3.75193012454323,0.481303739314533
"Peptostreptococcus",0.140963251120278,0.00109486304913817,0.0374560465376007,-3.56945466910985,4.24705476289353,0.481703659329192
"Winkia",0.267562941945184,0.0198471063646661,-0.0351010938830953,-3.93345652987713,3.94124662507022,0.48270345936584
"Fastidiosipila",0.412788465436724,0.0401300561256808,-0.0342810523350301,-4.03800353746391,3.75252274192896,0.48240000005874
"Peptococcus",0.359340676755479,0.0480513352662167,0.0306552101568705,-3.514196301112,4.01141318301065,0.483600000054725
"Gemella",0.408995912108088,0.0449429297659226,0.0292389704663626,-3.53769640289097,3.69316322322886,0.486400000045367
"Sutterella",0.416944966753392,0.0445625840401459,0.029053547229629,-3.91694116205243,3.85235284627467,0.486600000044699
"Lawsonella",0.37584033665862,0.0321059337542149,-0.028734238433688,-3.72176693648815,3.51563060598926,0.485400000048708
"Eggerthellaceae",0.202201524527941,0.0293670471012277,-0.0210223951335543,-3.80495412066529,3.52814244885954,0.488902219593085
