"feature_selected","we.eBH","wi.eBH","effect","effect.low","effect.high","overlap"
"Prevotella.bivia",3.50363866619703e-06,1.11747851201304e-163,0.181772820454241,-2.93038167668443,4.43359425768916,0.414917016888631
"Fusobacterium.nucleatum",0.000102065764406833,2.35731298301713e-104,0.154939116403001,-2.85118383922351,4.53856680486016,0.416000000288132
"Pseudomonas.fluorescens.veronii",0.0054347098057829,2.76087346025604e-20,-0.141055941679532,-4.14402663322511,3.12186251428951,0.432600000228824
"Prevotella.timonensis",0.0024358335878199,1.49151470287825e-84,0.140437327701278,-3.05507208171493,3.92257896864296,0.43520000021969
"Lachnospiraceae",0.0108251486664057,8.48901864658882e-73,-0.13512800818308,-3.92561834360563,3.23764184385945,0.432713457536872
"Lactobacillus.crispatus",0.00171991747809006,4.40788813324827e-90,-0.135052051328993,-4.20408920096001,3.11313219645118,0.431800000231643
"Ureaplasma",0.00452355970899594,1.75427896228364e-45,0.134024768203172,-3.03430624371159,4.44987023079359,0.433913217580645
"Lactobacillus.jensenii",0.00490807142961049,3.14473393775242e-94,-0.13206804520065,-3.95659450558704,3.16246477235834,0.436600000214787
"Prevotella",0.0029648149921888,1.90599899007558e-55,0.120656101540748,-3.37078782936478,4.10897039509733,0.435512897639021
"Sneathia.amnii",0.00510003245067521,7.63577471414691e-26,0.117739827368536,-3.391942963326,4.40837274276688,0.436112777660917
"Corynebacterium.tuberculostearicum",0.0151936732250621,1.74769450090674e-28,-0.113768888359901,-3.99145210073451,3.07735866713365,0.446400000180744
"Gardnerella.vaginalis",0.0182420566723726,1.56782038827923e-53,-0.105294850455733,-4.04102002236187,3.21156120420374,0.449000000171787
"Anaerococcus.lactolyticus",0.0068915922384295,9.97331583755445e-22,0.101949312414759,-3.31236971612353,4.62402751903648,0.444711057974946
"Bacteroidales",0.0419769382250587,3.28581856401779e-15,0.0995538635813768,-3.4269542943718,4.32854594655065,0.444600000186962
"Pseudomonas.veronii",0.0525010918114275,4.12516379841346e-14,-0.0988934319338716,-3.98662969033777,3.27405176171194,0.455800000148493
"Dialister",0.0682000875249055,2.06922388517118e-11,0.0981331932189961,-3.21613284177001,3.7599086141777,0.453800000155326
"Prevotella.disiens",0.0464375918483309,1.44314131108571e-12,0.0927561038209761,-3.10643984420338,3.98290790656334,0.454600000152591
"Peptoniphilus",0.0464610362086699,2.13965660521535e-08,0.0926535510114585,-3.5280505050168,4.37293430331093,0.453000000158063
"Lactobacillus.reuteri",0.00643191928135882,7.19838465610856e-11,-0.0917067529733667,-4.59165669934006,3.36020809952069,0.450109978172304
"Achromobacter",0.0128611829586962,6.81238173612026e-30,-0.0910438582161663,-3.90045480480544,3.12810856580541,0.455200000150542
"Aerococcus.christensenii",0.080344474251701,3.57333282352143e-11,0.0903040009592117,-3.34937720699561,4.24368064498412,0.455308938362467
"Mycoplasma.hominis",0.0156586445665943,6.65770446985729e-18,0.0902128512187731,-3.32678966917123,4.56450446959012,0.457400000143038
"unclassified.Bacteroidales",0.064926442204871,1.08631942621723e-07,0.0873339823958668,-3.38845205401816,4.03299379058125,0.451909618238118
