"feature_selected","we.eBH","wi.eBH","effect","effect.low","effect.high","overlap"
"Lactobacillus.jensenii",2.01133392610817e-12,3.24245513349941e-238,-0.184359578817226,-4.02989060399635,3.18168626549031,0.414800000292493
"Lachnospiraceae",3.55121071361246e-07,8.12411930916884e-113,-0.143366784460005,-4.15529583722078,3.31811842815975,0.432200000230233
"Pseudomonas.fluorescens.veronii",4.24649803389319e-05,3.512873935232e-58,-0.139275175063288,-3.86441300786751,3.31182496011195,0.439312137777721
"Lactobacillus.crispatus",5.96556261480388e-07,1.33987928929714e-112,-0.138171950682165,-4.05127151405929,2.97429128406037,0.430313937449351
"Gardnerella.vaginalis",8.5536930996721e-07,2.82215845882831e-94,-0.136982213660399,-3.96295371191129,2.92432655718132,0.436600000214787
"Lactobacillus.gasseri.paragasseri",0.0161592074014907,1.78978299078874e-10,-0.102872393402677,-4.07832938079578,3.6158377245166,0.451909618238118
"Fusobacterium.nucleatum",0.00022971886659562,1.74127416404519e-33,0.102805732869435,-3.60054845823277,4.38134468450196,0.445710858011484
"Achromobacter",0.00029169274375951,4.04115666823473e-38,-0.102560585723713,-3.90918637822834,3.34833011930878,0.452709458267372
"Anaerococcus.lactolyticus",0.00324360939271962,5.41937063656904e-19,0.101672214098087,-3.6255178907976,4.41015385197692,0.447310538069955
"Prevotella",0.00143836765468252,1.86623078682222e-27,0.093098220363693,-3.32917585472985,3.93607353543999,0.452000000161489
"Peptoniphilus.asaccharolyticus.harei",0.00173328538224241,1.00852472384385e-25,-0.0911086554385067,-4.02303013822791,3.24137434492474,0.455908818384416
"Streptococcus.mitis",0.00121843696647769,1.03180134652278e-19,0.0885111570114639,-3.497704081651,4.74185060650491,0.453800000155326
"Corynebacterium.tuberculostearicum",0.0117470030020193,1.94006412955712e-11,-0.0839918979549752,-3.8770360922848,3.4383654792959,0.459800000134872
"Peptoniphilus",0.00385118193769895,8.84013469090828e-15,0.0809930083604842,-3.53887719670964,4.13109183933702,0.455800000148493
"Lactobacillus.gasseri",0.0283815013411845,3.55843351800379e-14,-0.0807488367813435,-3.84268792871672,3.29506047864276,0.459800000134872
"Lactobacillus.reuteri",0.000636136320693024,5.90811570832213e-09,-0.0805469890630923,-4.1609312320027,3.45882275831269,0.457908418457587
"Coriobacteriia",0.0909647808249332,1.83142443004238e-06,0.0711845387215828,-3.82707201687098,4.45382405464267,0.46280000012469
"Pseudomonas.veronii",0.0123870173492595,7.54582177950902e-16,-0.0692343608126629,-3.91077247105461,3.37152522825146,0.467306538801664
"Sneathia.sanguinegens",0.018041640267613,7.30851268129445e-07,0.0683546873800703,-3.44309933743338,4.42446491720664,0.465106978721111
"Megasphaera",0.157290867104692,1.09678085565877e-10,-0.0673556634591851,-3.57097985784429,3.43182864752454,0.468906218860255
