"","id","score"
"pt__00005",5,0.0106480452633251
"pt__00277",277,0.00652595929215139
"pt__00164",164,0.00446202899222651
"pt__00173",173,0.00306960678023983
"pt__00313",313,0.00308055412565112
"pt__00015",15,0.00314982054251024
"pt__00119",119,0.00291605029735892
"pt__00009",9,0.00310779226549381
"pt__00033",33,0.00319298610658402
"pt__00464",464,0.00328542027033805
"pt__00118",118,0.00271921346952152
"pt__00152",152,0.00263060277817975
"pt__00081",81,0.00257232109371425
"pt__00021",21,0.00245751956283551
"pt__00155",155,0.00239193655254288
"pt__00911",911,0.00231008606309504
"pt__00178",178,0.00207609497241141
"pt__00004",4,0.00200813092160437
"pt__00016",16,0.00187678321048774
"pt__00417",417,0.00191976087493192
"pt__00040",40,0.00184416351009391
"pt__00185",185,0.00168033595979942
"pt__00174",174,0.00178175283036163
"pt__00020",20,0.00170181147713483
"pt__01109",1109,0.00172027424606446
"pt__00541",541,0.001692173791783
"pt__00018",18,0.00172229002011887
"pt__00112",112,0.00163122453690909
"pt__00203",203,0.00163227661972015
"pt__00030",30,0.00163772797200601
"pt__00602",602,0.00162470369881168
"pt__00903",903,0.0016268656554523
"pt__01823",1823,0.00166697278051823
"pt__00027",27,0.00167511833829016
"pt__00073",73,0.00160165955898552
"pt__00140",140,0.00161017908164201
"pt__00129",129,0.00160939238097836
"pt__00046",46,0.00153052378748495
"pt__00054",54,0.00151618494738158
"pt__01718",1718,0.00151722506131552
"pt__00017",17,0.00152976345154387
"pt__00135",135,0.00151852718027578
"pt__00055",55,0.00149477139481465
"pt__00090",90,0.00149226563534854
"pt__00067",67,0.0014903055854448
"pt__00555",555,0.00149609006353563
"pt__00084",84,0.00146722832463846
"pt__01178",1178,0.00146527783452886
"pt__00372",372,0.00143478140848014
"pt__00542",542,0.00141771063319683
"pt__00035",35,0.00139966638167741
"pt__00007",7,0.00141653626637029
"pt__01327",1327,0.00138697433222471
"pt__01224",1224,0.0013626371641037
"pt__00024",24,0.00133245719805681
"pt__01488",1488,0.0013401568580571
"pt__00365",365,0.00131880646325851
"pt__00068",68,0.00131462390431169
"pt__01113",1113,0.00132129041175032
"pt__00045",45,0.0013039792944141
"pt__01641",1641,0.00130605270865777
"pt__00110",110,0.00124828924376869
"pt__00037",37,0.00125318589156087
"pt__00257",257,0.0012366497215653
"pt__00074",74,0.00121674724154356
"pt__00399",399,0.00118741350686757
"pt__00097",97,0.00119171835572295
"pt__00160",160,0.00118936505424114
"pt__00154",154,0.00118832395093082
"pt__00224",224,0.00119148958533883
"pt__00207",207,0.00119226010329798
"pt__00049",49,0.00115704247084091
"pt__00361",361,0.00116789832727492
"pt__00170",170,0.00113378854041674
"pt__00183",183,0.00113414940281946
"pt__00012",12,0.0011446732636257
"pt__01596",1596,0.00115688413036808
"pt__00201",201,0.00112854112699294
"pt__00265",265,0.00110214762810143
"pt__00089",89,0.00109985646105776
"pt__00442",442,0.00110092495502849
"pt__00231",231,0.00109997241499495
"pt__00641",641,0.00110114433223188
"pt__00303",303,0.00110665149778638
"pt__00025",25,0.00110373777028204
"pt__00739",739,0.00110387004125121
"pt__00299",299,0.00107797107418162
"pt__00006",6,0.00108460742145904
"pt__00388",388,0.00106528108197751
"pt__00682",682,0.00104813579727734
"pt__00058",58,0.00104813920659647
"pt__00622",622,0.0010469147712104
"pt__00125",125,0.00104525386204743
"pt__00243",243,0.00103948043264798
"pt__00056",56,0.00103410044105581
"pt__00223",223,0.00102670177973741
"pt__00271",271,0.00103557931382386
"pt__00292",292,0.001024818702592
"pt__00182",182,0.00102492630240562
"pt__00979",979,0.00102147129907784
"pt__00050",50,0.00101806887093287
"pt__00683",683,0.00100994240774993
"pt__01260",1260,0.00101638711537504
"pt__00191",191,0.00101225067514268
"pt__00029",29,0.0010122095967147
"pt__00373",373,0.00101720717833388
"pt__00251",251,0.00101597530585003
"pt__00032",32,0.00100140398937742
"pt__01813",1813,0.00100048205148325
"pt__00430",430,0.00100767998347599
"pt__00022",22,0.00100333621895797
"pt__00367",367,0.00100226336530966
"pt__00449",449,0.000999504268347343
"pt__01728",1728,0.000994884948435288
"pt__00315",315,0.000990783348875285
"pt__01311",1311,0.000979705718624558
"pt__00001",1,0.00100766424523471
"pt__00470",470,0.000952398504257607
"pt__01222",1222,0.000945547566263892
"pt__00437",437,0.000943262638331207
"pt__00057",57,0.000941282401123643
"pt__00095",95,0.000940333782550735
"pt__00453",453,0.000935929706589987
"pt__00036",36,0.000916428521917607
"pt__00294",294,0.000913547561969055
"pt__01269",1269,0.00091048675846338
"pt__00323",323,0.000911077864660223
"pt__00100",100,0.000908238527519192
