"","id","score"
"pt__00006",6,0.00868279273750106
"pt__01665",1665,0.00634329469167859
"pt__00017",17,0.00428177235927862
"pt__00556",556,0.00384471787011995
"pt__01094",1094,0.00409196853042855
"pt__00009",9,0.00371339785002343
"pt__00229",229,0.00320153488194699
"pt__00040",40,0.00323500818740978
"pt__01201",1201,0.0031065283214782
"pt__00927",927,0.00329517081783097
"pt__00031",31,0.00341661278316777
"pt__00016",16,0.00308221668542425
"pt__00194",194,0.00311000755455535
"pt__00392",392,0.00302887654735994
"pt__00172",172,0.00291482232962328
"pt__00053",53,0.00283465992569326
"pt__00043",43,0.00276714595845816
"pt__00304",304,0.00263427387333806
"pt__00640",640,0.00260312136136717
"pt__00600",600,0.00263163744169488
"pt__00105",105,0.00266606811530792
"pt__00175",175,0.00260507712153597
"pt__00153",153,0.00250053526993952
"pt__00057",57,0.00249034801465007
"pt__03448",3448,0.0023941426451853
"pt__03558",3558,0.0023709108042833
"pt__00027",27,0.00241135150390437
"pt__03505",3505,0.00240486005125435
"pt__03539",3539,0.00225991294287731
"pt__00375",375,0.00215003485541199
"pt__00063",63,0.00211632503114865
"pt__00188",188,0.00214221641721369
"pt__00358",358,0.00213665475941866
"pt__01191",1191,0.00209977600477551
"pt__00054",54,0.00209765711836505
"pt__00561",561,0.00210368066881278
"pt__00032",32,0.00210963275632277
"pt__00959",959,0.00206950294775052
"pt__00046",46,0.002055822251597
"pt__00039",39,0.00208199056640908
"pt__00879",879,0.00196225611094524
"pt__00825",825,0.00197432515538794
"pt__00146",146,0.00193525856144767
"pt__00259",259,0.00186412068511676
"pt__00052",52,0.00189727979913442
"pt__00929",929,0.00182768727206313
"pt__00131",131,0.00176139177038329
"pt__03334",3334,0.00175277233666672
"pt__00064",64,0.00175117832701349
"pt__02390",2390,0.00173962792477105
"pt__00119",119,0.00174737360025394
"pt__00478",478,0.00172071394302101
"pt__00033",33,0.00172198975492883
"pt__00210",210,0.00171966432208536
"pt__00024",24,0.00171003254998003
"pt__00113",113,0.00171638167248563
"pt__02277",2277,0.00170905829911297
"pt__00111",111,0.00170178340771505
"pt__00048",48,0.00171600482985126
"pt__00204",204,0.0017109758228015
"pt__00863",863,0.00167403081181884
"pt__00282",282,0.00167917615872658
"pt__00402",402,0.00162529629159104
"pt__00548",548,0.00163863224946002
"pt__00219",219,0.00163759214032993
"pt__00564",564,0.0016078786429354
"pt__00254",254,0.00157520534291207
"pt__01085",1085,0.00157973542694665
"pt__01079",1079,0.00158190612053492
"pt__02001",2001,0.00152174073736465
"pt__00173",173,0.00152196452895663
"pt__00038",38,0.00150939265695787
"pt__00030",30,0.00151490690135742
"pt__00215",215,0.00150668848965352
"pt__00109",109,0.00150715822057829
"pt__00379",379,0.0014872054413414
"pt__00826",826,0.001482203986994
"pt__01114",1114,0.00148215846423551
"pt__00028",28,0.00149297431810712
"pt__01696",1696,0.00148007803298927
"pt__02169",2169,0.00147537007552829
"pt__01791",1791,0.00146022294221106
"pt__00211",211,0.00144096022282054
"pt__02373",2373,0.00143363475595503
"pt__01113",1113,0.00142907659890678
"pt__02757",2757,0.00142706669947639
"pt__00124",124,0.00143008159161675
"pt__01312",1312,0.00141741093580718
"pt__01018",1018,0.00139869971094548
