"","id","score"
"Prevotella",812,0.0149754011596534
"Planctomycetia",790,0.00452212702408581
"Rhodoluna",883,0.0039534067871572
"Odoribacter",698,0.00351895568302059
"Galactobacillus",451,0.00360833130245262
"Streptococcus",976,0.00352458494613054
"Arcanobacterium",110,0.0028682907898945
"Rahnella.Serratia",865,0.00283302264809095
"Anaeroglobus",95,0.00280650818101146
"Chitinophagaceae",236,0.00286819325268288
"Mobiluncus",638,0.00298531333176757
"Veillonella",1049,0.00276429519065096
"Firmicutes",420,0.00245682311716865
"Citrobacter",260,0.002418039838286
"Alteromonadaceae",86,0.00249786478719453
"Sneathia",934,0.00248781430009362
"Aquirufa",108,0.00246137696220372
"Odoribacteraceae",699,0.00227043585337879
"Vagococcus",1041,0.0022009575030384
"Actinotignum",40,0.00218798230687447
"Enterobacteriaceae",377,0.00218654874213424
"Prevotellaceae",813,0.00214138783559997
"Dietzia",348,0.00208628927642498
"Alistipes",70,0.00213693127853496
"Bifidobacterium",159,0.00194840697923988
"Schaalia",913,0.00198069401191747
"Bacteria..bacteria.",134,0.00199320104295399
"Ureaplasma",1037,0.00184663618414503
"Bacteroidia.Planctomycetia",150,0.00181931591841269
"Ruminococcus",906,0.00183268272799657
"Haemophilus",479,0.00185875878660508
"Cutibacterium",310,0.00178266512413087
"Bilophila",160,0.0017815532869112
"Leuconostoc",573,0.00168748105192907
"Clavibacter",263,0.00171212920585528
"Lachnospira",539,0.00163258801606508
"Metaprevotella",613,0.00152731086707827
"Anaerotignum",99,0.00154810579084936
"Rothia..high.GC.Gram..",899,0.00160262801012905
"Rhodanobacter",873,0.00160203769491221
"Escherichia",389,0.00154312886460711
"Helicobacter",485,0.00154875434551657
"Winkia",1062,0.00155269694245172
"Clostridiales.incertae.sedis",273,0.00153683687356971
"Phascolarctobacterium",775,0.0015260012618207
"Fusobacterium",450,0.00148868015287271
"Varibaculum.Neisseria",1047,0.00143485265384399
"Bulleidia",180,0.00143374015305658
"Clostridiales",271,0.00143099387199897
"Micrococcaceae",628,0.00143072049866559
"Bacteroidales.Fusobacteriales",141,0.00143685252892984
"Mycolicibacterium",660,0.00143770004304721
"Herbaspirillum",486,0.00142506226011817
"Spirochaetaceae",954,0.00140407301165633
"Leucobacter",572,0.00132591776504964
"Tissierellaceae",1020,0.00132724300959953
"Anaerostipes",98,0.00131634913444355
"Faucicola",415,0.00131966999742494
"Planctomycetia.Phycisphaerae",793,0.00132586144292268
"Atopobiaceae.Coriobacteriaceae",117,0.001316834280517
"Escherichia.Shigella",390,0.00130896672698606
"FCB.group",406,0.00130769877099934
"Finegoldia",419,0.00129299942233726
