"","id","score"
"Planctomycetia",1492,0.00616702309503294
"Peptoniphilus.harei",1452,0.00594016857301534
"Sneathia.amnii",1811,0.00490034150470839
"Lactobacillus.helveticus",1062,0.00452452141291929
"Mogibacterium.timidum",1232,0.0042079340356086
"Arcanobacterium.urinimassiliense",215,0.00425269958155343
"Streptococcus.anginosus",1913,0.00392931271236343
"Pseudomonas.brenneri",1622,0.00360246237877738
"Prevotella.bivia",1530,0.00369378807440114
"Alteromonadaceae",158,0.00360786801926314
"Aquirufa.antheringensis",211,0.00357567282768051
"Blautia.hominis",335,0.00314856961029379
"Chitinophagaceae",467,0.00320236520461642
"Anaerococcus.lactolyticus",169,0.00311881599625135
"Sneathia.sanguinegens",1812,0.00309318477495986
"Corynebacterium.genitalium",593,0.00314628887947418
"Firmicutes",824,0.00299990625321003
"Prevotella.buccalis",1535,0.00275079070977412
"Rhodoluna",1708,0.00280446652554409
"Prevotella.maculosa",1549,0.00284677040250293
"Anaeroglobus.geminatus",190,0.00288640182002888
"Odoribacteraceae",1339,0.0028183810903691
"Lactobacillus.reuteri",1075,0.0027419372310298
"Sphingomonas.aquatilis.melonis",1839,0.0027582105140144
"Rothia.dentocariosa",1737,0.00256787587843255
"Schaalia.odontolytica",1765,0.00248934874696859
"Mobiluncus.curtisii",1223,0.00244118919539588
"Enterobacteriaceae",744,0.00240267432593791
"Galactobacillus",871,0.0024529013029007
"Flavobacterium.succinicans",840,0.00238118683765294
"Kytococcus.sedentarius",1012,0.00230431453915288
"Prevotella.timonensis",1569,0.00236646212285727
"Bacteria..bacteria.",254,0.00232679793283411
"Serratia.quinivorans",1787,0.0022518357106997
"Vagococcus",2031,0.00222037164892174
"Streptococcus.thermophilus",1944,0.00219539256811377
"Mobiluncus.mulieris",1226,0.00212187671262319
"Lactobacillus.gasseri.paragasseri",1061,0.00210305492762786
"Peptoniphilus",1442,0.00214023407778568
"Prevotella.nanceiensis",1556,0.00205788980362279
"Peptoanaerobacter.stomatis",1433,0.0020092598267583
"Veillonella",2049,0.00202903697444858
"Odoribacter.splanchnicus",1338,0.00204936380926073
"Neisseria.elongata",1288,0.00204597094652063
"Bifidobacterium.breve",317,0.00201457212881363
"Negativicoccus",1280,0.00199114215320954
"Anaerococcus.tetradius",183,0.00199574247723491
"Corynebacterium.pseudogenitalium.tuberculostearicum",616,0.0019542290725487
"Anaerotignum.faecicola",197,0.00191762965331382
"Arcanobacterium",213,0.00191696876430832
"Corynebacterium.diphtheriae",588,0.00191968606123255
"Sphingobacterium.multivorum",1831,0.0018874307492146
"Lachnoanaerobaculum.gingivalis",1014,0.00188433552533679
"Pseudomonas.aeruginosa.group",1619,0.00188010879105969
"Prevotellaceae",1572,0.00190361968746266
"Rhodanobacter",1697,0.00190765357810249
"Schaalia.turicensis",1766,0.00185071092790398
"Escherichia.coli",771,0.00185217392583722
"Streptococcus.gordonii",1923,0.00184038174459599
"Alistipes.onderdonkii",138,0.00177395281437308
"Prevotella.amnii",1525,0.00172562982298214
"Peptoniphilus.urinimassiliensis",1460,0.00171861492987678
"Lactobacillus.fermentum",1055,0.00170547327293485
"Actinotignum.schaalii.timonense",89,0.00170955625524238
"Dietzia.cinnamea",700,0.00171712767706177
"Bacteroidia.Planctomycetia",300,0.00170140035080571
"Atopobium.minutum",227,0.00169640667008867
"Ruminococcus.bicirculans",1748,0.00167099250327352
"Corynebacterium.hadale.imitans",597,0.0016747402750144
"Enterobacter.cloacae.hormaechei",735,0.00167505532076121
"Lachnospira.eligens",1026,0.00168470126611549
"Helicobacter",933,0.00166804060702361
"Campylobacter.concisus",402,0.00166109885993323
