"feature_selected","we.eBH","wi.eBH","effect","effect.low","effect.high","overlap"
"Prevotellaceae",5.60916424048439e-05,5.69696175911182e-08,0.175396212692511,-2.84636529055775,4.1003070133996,0.414200000294677
"Corynebacteriaceae",0.00208319121396964,0.00113720749284422,-0.140326955062779,-3.96804753273972,3.31985322454221,0.439112177770419
"unclassified.Clostridiales",0.00758572593353811,0.00188056968910344,-0.131099275255623,-4.14183020339893,3.22799450337429,0.4386000002078
"Staphylococcaceae",0.0107167469996867,0.00193208018493408,-0.124260821691805,-4.09855857564702,3.35477245949793,0.443200000191809
"Bifidobacteriaceae",0.00496196963547119,0.0023383534513116,-0.109042520866343,-3.6476791605533,3.28928397108315,0.452600000159433
"Lachnospiraceae",0.0142483852649799,0.000779221888489198,-0.0981626484068058,-3.93990542716469,3.06315927754676,0.452600000159433
"Fusobacteriaceae",0.00375175893683821,0.00709925801868911,0.0974024169332133,-3.23851813140224,4.01252300718149,0.451509698223491
"unclassified.Corynebacteriales",0.0441537796155651,0.0150585808886505,-0.0953579477313645,-4.08714454832742,3.36210371037073,0.453200000157379
"Ruminococcaceae",0.0272809416814843,0.00999906383715274,-0.0916839504355727,-4.06316370308075,3.58704518174784,0.454509098333204
"Mycoplasmataceae",0.00244649549353819,0.00217315200143698,0.0889335562637701,-3.29488971964492,3.88545195566808,0.459400000136232
"unclassified.Tissierellia",0.0230911124472888,0.00940116789761931,-0.0868923664149829,-3.95309791629727,3.43385921101868,0.457508498442951
"Veillonellaceae",0.139298587535006,0.040558731628568,0.0805879882245618,-3.2468832285782,3.75129347013992,0.464600000118595
"Lactobacillaceae",0.0180963915686303,0.026414688934027,-0.0583604949389912,-4.9876856843721,4.06095859054769,0.461507698589329
"Bacteroidales",0.0376382749423234,0.0384810312176461,0.0564481904957878,-3.53968921533068,4.11979995118394,0.470000000100361
"Alcaligenaceae",0.0366714192887447,0.0318215593288025,-0.0559355419080802,-3.79562750940185,3.21608597920781,0.471200000096319
